id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
730241,3797218,FALSE,0,Entire condominium (condo),Entire home/apt,$70.00,3,20,4.95,0.23
739001,1633819,FALSE,1,Entire cottage,Entire home/apt,$80.00,3,164,4.52,1.64
740308,3874113,FALSE,2,Private room in villa,Private room,$169.00,1,0,NA,NA
740310,3874113,FALSE,2,Private room in bed and breakfast,Private room,$180.00,2,1,5,0.01
741425,3880254,FALSE,12,Entire rental unit,Entire home/apt,$90.00,3,158,4.5,1.65
747693,3925845,FALSE,1,Entire rental unit,Entire home/apt,$155.00,3,141,4.88,1.42
753936,1554828,FALSE,7,Entire rental unit,Entire home/apt,$205.00,2,200,4.68,2.11
762335,4018771,TRUE,6,Entire rental unit,Entire home/apt,$80.00,3,102,4.73,1.15
767581,4018771,TRUE,6,Entire rental unit,Entire home/apt,$84.00,3,120,4.74,1.35
769007,4018771,TRUE,6,Entire rental unit,Entire home/apt,$79.00,3,165,4.52,1.65
769436,3223223,TRUE,1,Entire rental unit,Entire home/apt,$89.00,2,22,4.86,0.26
769492,2100864,TRUE,5,Entire rental unit,Entire home/apt,$122.00,3,208,4.79,2.19
771031,4067615,TRUE,6,Entire rental unit,Entire home/apt,$90.00,2,225,4.7,2.23
772215,745553,TRUE,10,Entire rental unit,Entire home/apt,$113.00,3,78,4.83,0.75
776996,4097735,TRUE,4,Room in bed and breakfast,Hotel room,$87.00,2,201,4.85,1.95
783211,4097735,TRUE,4,Room in bed and breakfast,Hotel room,$80.00,2,116,4.85,1.31
783814,283131,FALSE,6,Entire rental unit,Entire home/apt,$850.00,3,127,4.78,1.44
784525,4136657,FALSE,3,Entire rental unit,Entire home/apt,$75.00,3,60,4.54,0.63
784879,2255199,FALSE,2,Entire rental unit,Entire home/apt,$140.00,3,84,4.61,0.84
785173,2508340,TRUE,17,Room in hotel,Private room,$86.00,1,71,4.52,0.75
793697,4181403,TRUE,3,Entire rental unit,Entire home/apt,$87.00,2,496,4.64,4.8
798826,4120295,FALSE,4,Private room in bed and breakfast,Private room,$100.00,2,236,4.27,2.35
798846,4120295,FALSE,4,Private room in bed and breakfast,Private room,$110.00,2,479,4.54,4.7
798869,4120295,FALSE,4,Private room in bed and breakfast,Private room,$72.00,2,281,4.44,2.84
804777,3877860,FALSE,1,Entire rental unit,Entire home/apt,$80.00,2,5,4.6,0.22
806862,4217637,TRUE,2,Entire loft,Entire home/apt,$179.00,3,167,4.92,1.99
807633,4249732,TRUE,1,Entire rental unit,Entire home/apt,$92.00,3,233,4.85,2.25
809281,4258092,FALSE,3,Entire rental unit,Entire home/apt,$95.00,2,49,4.45,0.53
816197,4287661,TRUE,1,Private room in bed and breakfast,Private room,$80.00,3,302,4.88,3
819328,4302881,FALSE,1,Entire rental unit,Entire home/apt,$130.00,3,158,4.32,1.56
824668,4329171,TRUE,2,Entire rental unit,Entire home/apt,$50.00,2,268,4.81,2.61
830598,4350749,TRUE,2,Entire rental unit,Entire home/apt,$89.00,2,669,4.9,6.39
831560,1974309,TRUE,4,Entire rental unit,Entire home/apt,$95.00,3,216,4.73,2.07
840779,4390954,FALSE,1,Entire rental unit,Entire home/apt,$149.00,3,170,4.55,1.78
841559,470341,FALSE,30,Entire rental unit,Entire home/apt,$59.00,2,47,4.65,0.48
846521,4420264,FALSE,1,Entire rental unit,Entire home/apt,$135.00,3,20,4.84,0.29
855214,3290752,FALSE,3,Entire rental unit,Entire home/apt,$140.00,30,22,4.77,0.22
861429,4512765,TRUE,2,Private room in rental unit,Private room,$46.00,1,442,4.7,4.4
864638,4537737,FALSE,1,Entire rental unit,Entire home/apt,$105.00,2,49,4.42,0.57
867034,4557370,FALSE,9,Entire rental unit,Entire home/apt,$80.00,3,31,4.52,0.31
879892,351965,FALSE,3,Private room in bed and breakfast,Private room,$80.00,2,5,4.33,0.08
880052,4654141,TRUE,4,Entire rental unit,Entire home/apt,$240.00,3,222,4.76,2.2
884350,4684434,FALSE,5,Entire rental unit,Entire home/apt,$170.00,1,21,4.85,0.46
888033,4709291,TRUE,1,Entire rental unit,Entire home/apt,$67.00,5,373,4.86,3.89
895621,4772693,TRUE,2,Private room in rental unit,Private room,$85.00,2,59,4.69,0.71
895952,632312,TRUE,13,Entire rental unit,Entire home/apt,$105.00,3,25,4.22,0.26
899373,4801510,FALSE,1,Entire rental unit,Entire home/apt,$105.00,3,57,4.61,0.73
906161,4739917,FALSE,1,Entire rental unit,Entire home/apt,$60.00,3,55,4.74,0.58
906370,4851546,FALSE,1,Entire rental unit,Entire home/apt,$140.00,4,139,4.85,1.44
906617,4853287,FALSE,1,Entire rental unit,Entire home/apt,$69.00,2,220,4.62,2.17
909547,4877513,TRUE,2,Private room in bed and breakfast,Private room,$119.00,2,70,4.87,0.73
909754,4879104,TRUE,2,Entire rental unit,Entire home/apt,$90.00,2,371,4.91,3.64
911981,4893459,TRUE,3,Entire rental unit,Entire home/apt,$175.00,4,166,4.89,1.75
913607,4902899,FALSE,1,Entire rental unit,Entire home/apt,$200.00,2,151,4.67,1.5
916283,4918762,TRUE,1,Entire rental unit,Entire home/apt,$64.00,2,311,4.78,3.15
926604,4986069,FALSE,2,Private room in residential home,Private room,$108.00,2,166,4.78,1.68
932119,5022636,TRUE,3,Entire rental unit,Entire home/apt,$250.00,3,114,4.84,1.43
934097,4607163,FALSE,5,Entire rental unit,Entire home/apt,$70.00,2,81,4.36,0.81
941891,5093197,TRUE,1,Entire rental unit,Entire home/apt,$86.00,2,485,4.82,4.77
945052,123920,FALSE,4,Entire rental unit,Entire home/apt,$99.00,2,64,4.25,0.63
948522,5113473,TRUE,3,Entire rental unit,Entire home/apt,$83.00,1,551,4.71,5.48
949215,5146501,TRUE,3,Entire rental unit,Entire home/apt,$124.00,1,200,4.78,2.01
950834,5158215,FALSE,1,Entire rental unit,Entire home/apt,$80.00,2,63,4.64,0.68
953458,5176326,FALSE,1,Entire rental unit,Entire home/apt,$72.00,3,88,4.17,0.92
